пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
3733;55588902;Ким Э.В., Марченко Н.А., Низовцев В. А.;Алексеев География России 8кл. Р/Т (С тестовыми заданиями ЕГЭ) (Ким) ( ДРОФА );Дрофа;978-5-09-089995-6;28;14959;2022; ; ;266.8;;240.1
3734;14959;Ким Э.В., Марченко Н.А., Низовцев В. А.;Алексеев География России 8кл. Р/Т ВЕРТИКАЛЬ ФГОС ( ДРОФА );Дрофа;978-5-358-22922-8;30;55588902;2018; ;ФГОС;115.42;;115.42
3735;55610277;Ким Э.В., Марченко Н.А., Низовцев В. А.;Алексеев География России 9кл. Р/Т ВЕРТИКАЛЬ ФГОС ( ДРОФА );Дрофа;978-5-09-089997-0;20; ;2021-2022; ;ФГОС;266.8;;240.1
3736;55608639;Алексеев А.И., Низовцев В.А., Ким Э.В.;Алексеев География России. 9 класс. Хозяйство и географические районы. Учебник. ( ДРОФА );Дрофа;978-5-09-089996-3;12; ;2021-2022;ФП;ФГОС;698;;698
3737;55618078;Баринова И.И., Соловьев М.С.;Баринова Геогр. России. Природа 8 кл. Диагностические работы ВЕРТИКАЛЬ ( ДРОФА );Дрофа;978-5-358-21951-9;18; ;2019; ; ;111.2;;111.2
3738;55612783;Баринова И.И., Соловьев М.С.;Баринова География. Начальный курс. 5кл. Диагностические работы  ВЕРТИКАЛЬ.( ДРОФА );Дрофа;978-5-358-19689-6;15; ;2018; ; ;102.9;;102.9
3739;65663142;Герасимова Т.П., Неклюкова Н.П.;Герасимова (УМК Классическая география) География. 6кл.Учебник( ДРОФА );Просвещение/Союз;978-5-09-090494-0;16; ;2022;ФП;ФГОС;680.9;;680.9
3740;55613918;Курчина С.В., Панасенкова О.А.;Герасимова География 6кл. Диагностические работы ВЕРТИКАЛЬ ( ДРОФА );Дрофа;978-5-358-21094-3;15; ;2019; ; ;145;;130.5
3741;55601358;Герасимова Т.П., Неклюкова Н.П.;Герасимова География 6кл. Начальный курс. ВЕРТИКАЛЬ ( ДРОФА );Дрофа; ;20; ;2016; ; ;114.3;;114.3
3742;55604816;Карташева Т.А., Курчина С.В.;Дронов  География Землеведение 5кл. Диагностика результатов образования ВЕРТИКАЛЬ ( ДРОФА );Дрофа;978-5-358-12886-6;25; ;2016; ; ;41.7;;41.7
3743;55596470;Дронов В.П., Савельева Л.Е.;Дронов  География Землеведение 5кл. Р/т С тестовыми заданиями ЕГЭ. ВЕРТИКАЛЬ ( ДРОФА );Просвещение/Союз;978-5-09-094434-2;50; ;2021-2022; ; ;199.1;;179.2
3744;55584109;Дронов В.П., Савельева Л.Е.;Дронов  География Землеведение 6кл.Р/Т (С тестовыми заданиями ЕГЭ)ВЕРТИКАЛЬ  ( ДРОФА );Просвещение/Союз;978-5-09-093541-8;20; ;2021-2022; ; ;209.6;;188.6
3745;65654503;Душина И.В., Коринская В.А., Щенев В.А.;Дронов (УМК Классическая география) География. 7 класс. Учебное пособие(Дрофа);Дрофа;978-5-358-20830-8;12; ;2021;ФП; ;420;;420
3746;55630214;Дюкова С. Е.;Дюкова География 7 кл. Тематический и итоговый контроль ( ДРОФА );Дрофа;978-5-358-20782-0;20; ;2018; ; ;84;;84
3747;55630420;Климанова О.А., Климанов В. В., Ким Э.В.;Климанова  География 5-6кл. Землеведение. Учебник (Дрофа);Дрофа;978-5-09-088237-8;18;55597344;2022;ФП;ФГОС;698;;698
3748;55597343;Румянцев А.В.,  Ким Э.В., Климанова О.А.;Климанова  География 5кл. Землеведение Р/Т ВЕРТИКАЛЬ. (ФГОС) (ДРОФА);Дрофа;978-5-09-089992-5;32; ;2021-2022; ;ФГОС;266.8;;240.1
3749;65658390;Барабанов В.В;Климанова  География 5кл. Землеведение. Практические работы  (ДРОФА);Просвещение;978-5-09-080230-7;30; ;2021; ;ФГОС;178.8;;160.9
3750;55601553;Румянцев А.В.,  Ким Э.В., Климанова О.А.;Климанова  География 6кл. Землеведение Р/Т(ДРОФА);Дрофа;978-5-09-089993-2;30; ;2021-2022; ;ФГОС;266.8;;240.1
3751;65658391;Барабанов В.В;Климанова  География 6кл. Землеведение. Практические работы  (ДРОФА);Просвещение;978-5-09-080399-1;30; ;2021; ;ФГОС;178.8;;160.9
3752;55643702;Климанова О.А., Климанов В. В., Ким Э.В.;Климанова  География 7кл. Страноведение ВЕРТИКАЛЬ Комплект с приложением( ДРОФА );Дрофа;978-5-09-088238-5;12; ;2021-2022;ФП;ФГОС;698;;698
3753;55610236;Румянцев А.В.,  Ким Э.В., Климанова О.А.;Климанова  География 7кл. Страноведение. Р.Т. С тестовыми заданиями ЕГЭ ВЕРТИКАЛЬ ( ДРОФА );Дрофа;978-5-09-089994-9;20; ;2021-2022; ;ФГОС;266.8;;240.1
3754;65663141;Коринская В. А., Душина И. В., Щенев В. А.;Коринская (УМК Классическая география) География. 7 класс. Учебник (Дрофа);Просвещение;978-5-09-091367-6;10; ;2021-2022;ФП;ФГОС;680.9;;680.9
3755;65663140;Максимов Н. А., Герасимова Т. П., Неклюкова Н. П.,;Максимов (УМК Классическая география) География. 5кл.Учебник ( ДРОФА );Просвещение;978-5-09-084830-5;24; ;2021;ФП;ФГОС;680.9;;680.9
3756;65663144;Сухов В. П., Низовцев В. А., Алексеев А. И., Никол;Сухов (УМК Классическая география) География. 8кл.Учебник ( ДРОФА );Просвещение;978-5-09-090615-9;8; ;2021-2022;ФП; ;680.9;;680.9
3757;55604046;Марон Е.А., Марон А.Е.;Марон Дидактические материалы. Физика 7кл. ВЕРТИКАЛЬ (УМК Перышкин А.В.) (ДРОФА);Дрофа;978-5-09-089982-6;32; ;2021-2022; ;ФГОС;216.2;;194.6
3758;55604847;Марон Е.А., Марон А.Е.;Марон Дидактические материалы. Физика 8кл. ВЕРТИКАЛЬ (УМК Перышкин А.В.) ( (ДРОФА);Дрофа;978-5-09-089984-0;32; ;2022; ;ФГОС;216.2;;194.6
3759;14667;Марон Е.А., Марон А.Е.;Марон Дидактические материалы. Физика 9кл. ВЕРТИКАЛЬ (УМК Перышкин А.В.)   (ДРОФА);Дрофа;978-5-09-089987-1;32; ;2021-2022; ;ФГОС;216.2;;194.6
3760;55608640;Марон А.Е., Марон Е.А., Позойский С.В.;Марон Сборник вопросов и задач по физике 7 кл.  ВЕРТИКАЛЬ (УМК Перышкин А.В.) (ДРОФА);Дрофа;978-5-09-090991-4;40; ;2021-2022; ;ФГОС;212.3;;191.1
3761;55608803;Марон А.Е., Марон Е.А., Позойский С.В.;Марон Сборник вопросов и задач по физике 8 кл.  ВЕРТИКАЛЬ (УМК Перышкин А.В.)(ДРОФА);Дрофа;978-5-09-089986-4;30; ;2021-2022; ;ФГОС;212.3;;191.1
