пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
585;65671533;Генденштейн Л.Э., Булатова А.А., Корнильев И.Н., К;Генденштейн Физика 8 класс. Учебник (Комплект в 2-х частях) Часть 2(Бином);Просвещение;978-5-09-087418-2;16; ;2022;ФП;ФГОС;723.8;;723.8
586;65660775;Генденштейн Л.Э., Булатова А.А., Корнильев И.Н., К;Генденштейн Физика 9 класс. Учебник (Комплект в 2-х частях) Часть 1(Бином);Просвещение;978-5-09-087892-0;16;55622279;2022;ФП;ФГОС;742.5;;742.5
587;65660776;Генденштейн Л.Э., Булатова А.А., Корнильев И.Н., К;Генденштейн Физика 9 класс. Учебник (Комплект в 2-х частях) Часть 2(Бином);Просвещение;978-5-09-087895-1;16;55622279;2022;ФП;ФГОС;742.5;;742.5
588;55622279;Генденштейн Л.Э., Булатова А.А., Корнильев И.Н., К;Генденштейн Физика 9 класс. Учебник. (Комплект в 2-х частях) (Бином);Бином;978-5-9963-3060-7;8;65660775, 65660776;2019;ФП;ФГОС;825.86;;825.86
589;65663212;Иванов А. И.,Перышкин И. М.;Иванов, Перышкин Физика. 7 класс. Новая линия УМК.(Просв.);Просвещение/Союз;978-5-09-094445-8;10;65663623;2022;ФП; ;722.2;;722.2
590;65683902;Ханнанова Т.А., Ханнанов Н.К.;Иванов, Перышкин Физика. 7 класс. Рабочая тетрадь.Новая линия УМК.(Просв.);Просвещение; ;200; ;2023; ;ФГОС; ;; 
591;65663213;Иванов А. И.,Перышкин И. М.;Иванов, Перышкин Физика. 8 класс. Новая линия УМК (Просв.);Просвещение/Союз;978-5-09-092688-1;10;65663627;2021-2022;ФП; ;722.2;;722.2
592;65683903;Ханнанова Т.А.;Иванов, Перышкин Физика. 8 класс. Рабочая тетрадь.Новая линия УМК.(Просв.);Просвещение; ;200; ;2023; ;ФГОС; ;; 
593;65663214;Гутник Е. М., Иванов А. И., Перышкин И. М.,;Иванов, Перышкин Физика. 9 класс. Новая линия УМК (Просв.);Просвещение/Союз;978-5-09-092689-8;10;65663628;2022;ФП; ;722.2;;722.2
594;65683904;Гутник Е.М., Власова И.Г.;Иванов, Перышкин Физика. 9 класс. Рабочая тетрадь.Новая линия УМК.(Просв.);Просвещение; ;200; ;2023; ;ФГОС; ;; 
595;55556168;Лукашик В.И., Иванова Е.В.;Лукашик Сб. задач по физике 7-9 кл. (Просв.);Просвещение;978-5-09-090938-9;14; ;2021-2022; ; ;337.2;;320.3
596;65671450;Марон Е.А., Марон А.Е.;Марон Дидактические материалы. Физика 7кл. (УМКПерышкин-Иванов) (ДРОФА);Просвещение;978-5-09-080420-2;32; ;2022; ;ФГОС;216.2;;205.4
597;65671451;Марон Е.А., Марон А.Е.;Марон Дидактические материалы. Физика 8кл. (УМКПерышкин-Иванов) (ДРОФА);Просвещение;978-5-09-087190-7;32; ;2022; ;ФГОС;216.2;;205.4
598;65671452;Марон Е.А., Марон А.Е.;Марон Дидактические материалы. Физика 9кл. (УМКПерышкин-Иванов) (ДРОФА);Просвещение;978-5-09-087134-1;32; ;2022; ;ФГОС;216.2;;205.4
599;65682681;Марон А. Е., Марон Е. А.;Марон Самостоятельные и контрольные работы 7 кл. к учебнику Иванов,Перышкин (Просв.);Просвещение; ;40; ;2022; ;ФГОС;227.7;;216.4
600;65671453;Марон А.Е., Марон Е.А., Позойский С.В.;Марон Сборник вопросов и задач по физике 7 кл.  (УМК Перышкин-Иванов)(ДРОФА);Просвещение;978-5-09-087197-6;40; ;2022; ;ФГОС;212.3;;201.7
601;65671454;Марон А.Е., Марон Е.А., Позойский С.В.;Марон Сборник вопросов и задач по физике 8 кл.  (УМК Перышкин-Иванов)(ДРОФА);Просвещение;978-5-09-087198-3;30; ;2022; ;ФГОС;212.3;;201.7
602;65671455;Марон А.Е., Марон Е.А., Позойский С.В.;Марон Сборник вопросов и задач по физике 9 кл.  (УМК Перышкин-Иванов)(ДРОФА);Просвещение;978-5-09-087199-0;20; ;2022; ;ФГОС;212.3;;201.7
603;55635940;Мякишев Г.Я., Буховцев Б.Б., Сотский Н.Н.;"Мякишев (Классический курс) Физика 10 кл. Базовый и углублённый уровни(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-087657-5;8; ;2022;ФП; ;847.6;;847.6
604;55634892;Мякишев Г.Я., Буховцев Б.Б., Чаругин В.М.;"Мякишев (Классический курс) Физика 11 кл. Базовый и углублённый уровни  (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087659-9;8; ;2021-2022;ФП; ;859.7;;859.7
605;55556197;Агибалова Е.В., Донской Г.М.;"Агибалова Всеобщая история. История средних веков 6 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087836-4;14; ;2021-2022;ФП;ФГОС;789.3;;789.3
606;55599017;Крючкова Е.А.;"Агибалова Всеобщая история. История средних веков 6 кл. Рабочая тетрадь (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089214-8;30;55599017;2022; ;ФГОС;205.7;;195.5
607;65664048;Артемов В. В., Соколова Л. А.;Агибалова Всеобщая история. История Средних веков. 6 кл. Тетрадь для проектов и творч.работ.(Просв.);Просвещение/Союз;978-5-09-086202-8;50; ;2021; ;ФГОС;207.9;;197.6
608;55610692;Крючкова Е.А.;"Агибалова История средних веков 6 кл. Проверочные и контрольные работы(ФП2019 ""ИП"") (Просв.)";Просвещение/Союз;978-5-09-075151-3;44; ;2021; ;ФГОС;200.2;;190.2
609;55629640;Ведюшкин В.А., Гусарова Т.П.;Агибалова История Средних веков 6кл. Атлас(Просв.);Просвещение;978-5-09-089218-6;40; ;2022; ;ФГОС;233.8;;222.1
610;55629636;Ведюшкин В.А., Гусарова Т.П.;Агибалова История Средних веков 6кл. Контурные карты(Просв.);Просвещение;978-5-09-090118-5;50; ;2021-2022; ;ФГОС;96.3;;91.5
611;55635114;Белоусов Л.С., Смирнов В.П., Мейер М.С.;Белоусов (Сферы) Всеобщая история. Новейшее время. 10 класс. Базовый уровень Учебник НОВЫЙ (Просв.);Просвещение;978-5-09-087536-3;14; ;2021-2022;ФП;ФГОС;777.2;;777.2
612;55639187;Боголюбов Л.Н., Лазебникова А.Ю., Матвеев А.И.;"Боголюбов Обществознание 10 кл. (баз. уровень)(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087540-0;12; ;2022;ФП;ФГОС;753;;753
613;55638958;Боголюбов Л.Н.;Боголюбов Обществознание 10 класс. Профильный уровень. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-088447-1;12; ;2022; ; ;1237.5;;1175.7
614;55608708;Боголюбов Л.Н., Городецкая Н.И., Лазебникова А.Ю.;"Боголюбов Обществознание 11 кл. (баз. уровень) (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087541-7;12; ;2022;ФП;ФГОС;753;;753
615;55577138;Боголюбов Л.Н., Кинкулькин А.Т., Лазебникова А.Ю.;Боголюбов Обществознание 11 кл. (профил. уровень) (Просв.);Просвещение;978-5-09-037402-6;10; ;2018; ; ;218.53;;218.53
616;65682750;Боголюбов Л.Н.;Боголюбов Обществознание 11 класс. Профильный уровень. Учебное пособие (Просв.);Просвещение; ;12; ;2022; ; ;1237.5;;1175.7
617;55556201;Иванова Л.Ф., Хотеенкова Я.В.;Боголюбов Обществознание 6 кл. Р/Т (5-9) (Просв.);Просвещение;5-09-013564-9;52; ;2015; ; ;20.99;;20.99
618;55637509;Иванова Л.Ф., Хотеенкова Я.В.;"Боголюбов Обществознание 6 кл. Рабочая тетрадь (6-9) (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090174-1;25; ;2021-2022; ;ФГОС;189.8;;180.3
619;65651928;Лавренова Е.Б.;"Боголюбов Обществознание 6 кл. Тетрадь для проектов и творческих работ(6-9)(ФП2019 ""ИП"") (Просв.)";Просвещение/Союз;978-5-09-087227-0;32; ;2020-2021; ; ;194.7;;185
620;55629271;Боголюбов Л.Н., Виноградова Н.Ф., Городецкая Н.И.;"Боголюбов Обществознание 6 кл.(ФП2019 ""ИП"")(6-9) (Просв.)";Просвещение;978-5-09-087546-2;12; ;2021-2022;ФП;ФГОС;775.5;;775.5
621;65654465;Лобанов И.А.;Боголюбов Обществознание 6 кл.Проверочные работы (6-9) (Просв.);Просвещение/Союз;978-5-09-076946-4;30; ;2021; ;ФГОС;225;;213.8
622;55639185;Боголюбов Л.Н., Иванова Л.Ф., Городецкая Н.И.;"Боголюбов Обществознание 7 кл. (ФП2019 ""ИП"")(6-9) (Просв.)";Просвещение;978-5-09-088258-3;14; ;2022;ФП;ФГОС;792.6;;792.6
623;55574320;Боголюбов Л.Н., Городецкая Н.И., Иванова Л.Ф.;Боголюбов Обществознание 7 кл. Поурочные разработки(5-9) (Просв.);Просвещение;978-5-09-063469-4;22; ;2019; ;ФГОС;136;;129.2
624;65664050;Лобанов И. А.;Боголюбов Обществознание 7 кл. Проверочные работы.(6-9) (Просв.);Просвещение/Союз;978-5-09-091334-8;20; ;2022; ;ФГОС;225;;213.8
625;55639182;Котова О.А.;"Боголюбов Обществознание 7 кл. Рабочая тетрадь (6-9) (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089221-6;52; ;2022; ;ФГОС;184.3;;175.1
626;55602867;Боголюбов Л.Н., Городецкая Н.И., Иванова Л.Ф.;Боголюбов Обществознание 8 кл.  (Просв.);Просвещение; ;14; ;2019;ФП;ФГОС;309.93;;309.93
627;55639186;Боголюбов Л.Н.;"Боголюбов Обществознание 8 кл. (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-087549-3;16; ;2021-2022;ФП;ФГОС;792.6;;792.6
628;55582440;Боголюбов Л.Н., Городецкая Н.И., Иванова Л. Ф.;Боголюбов Обществознание 8 кл. Поуроч. разработки (6-9)ФГОС (Просв.);Просвещение;978-5-09-072600-9;30; ;2019-2020; ;ФГОС;219.5;;208.5
629;55606542;Котова О.А.;"Боголюбов Обществознание 8 кл. Рабочая тетрадь (6-9)(ФП2019 ""ИП"") ((Просв.)";Просвещение;978-5-09-077119-1;30; ;2020-2021; ;ФГОС;189.8;;180.3
630;55639183;Котова О.А.;Боголюбов Обществознание 8 кл. Рабочая тетрадь ФГОС (5-9)(ФП2014-18)(Просв.);Просвещение;978-5-09-074059-3;24; ;2020; ;ФГОС;170.78;;170.78
631;55582441;Боголюбов Л.Н., Лазебникова А.Ю., Матвеев А.И.;"Боголюбов Обществознание 9 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087555-4;22; ;2021-2022;ФП;ФГОС;792.6;;792.6
632;55582443;Боголюбов Л.Н.;Боголюбов Обществознание 9 кл. Поуроч. разработки (6-9)ФГОС (Просв.);Просвещение;978-5-09-072601-6;14; ;2020; ;ФГОС;209;;198.6
633;55639063;Котова О.А., Лискова Т.Е.;"Боголюбов Обществознание 9 кл. Рабочая тетрадь ФГОС (6-9)(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-077168-9;30; ;2019; ; ;187;;177.7
634;55583717;Боголюбов Л.Н., Лукашева Е. А.;"Боголюбов Право 10 кл. (Углубленный уровень) (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-087542-4;14; ;2022;ФП; ;744.7;;744.7
635;55577139;Боголюбов Л.Н.;Боголюбов Право 11 кл. (Углубленный уровень) (Просв.);Просвещение; ;8; ;2018;ФП; ;595.7;;595.7
636;65682713;Боголюбов Л.Н.;Боголюбов Право 11 кл. (Углубленный уровень) (Просв.);Просвещение;978-5-09-087574-5;8;55577139;2022;ФП; ;744.7;;744.7
637;65649018;Борисов Н. С., Левандовский А. А. / Под ред. Карпо;Борисов История. История России. С древнейших времён до 1914 г. 11 класс. В 2-х ч. Ч. 1. Угл(Просв.);Просвещение/Союз;978-5-09-087538-7;12; ;2022;ФП; ;638;;638
638;65649019;Борисов Н. С., Левандовский А. А. / Под ред. Карпо;Борисов История. История России. С древнейших времён до 1914 г. 11 класс. В 2-х ч. Ч. 2. Угл(Просв.);Просвещение/Союз;978-5-09-087539-4;12; ;2022;ФП; ;638;;638
